CustomerID,Recency,Frequency,Monetary
13117,76,12,2264.17
13124,205,30,4715.28
13126,137,18,2472.98
13136,257,3,236.98
13137,10,33,7815.52
13138,340,7,1559.99
13140,269,4,733.76
13141,22,16,3513.46
13144,137,1,49.989999999999995
13145,336,1,23.0
13148,37,78,18961.09
13155,115,38,6463.66
13158,75,16,3450.31
13161,38,2,517.33
13162,132,25,3621.75
13165,171,5,887.44
13168,67,36,5478.9
13173,284,15,3791.5
13174,49,124,24376.97
13178,221,14,2031.06
13183,147,11,2030.81
13187,153,10,1389.49
13198,69,39,6166.38
13199,19,14,2004.12
13208,12,13,2505.58
13209,111,10,483.86
13211,225,1,69.72
13221,208,19,2642.9
13225,159,5,556.19
13230,12,42,10698.8
13233,148,8,1401.1000000000001
13238,215,4,521.28
13240,262,15,1543.17
13246,110,18,2513.78
13253,166,5,546.92
13255,361,4,1320.9
13263,105,18,2791.94
13266,203,1,59.16
13267,131,26,17114.52
13269,228,17,3217.2
13270,269,1,85.5
13280,47,39,8878.19
13284,93,6,843.89
13295,210,5,822.42
13304,170,3,779.66
13305,346,3,497.74
13309,9,22,4559.0
13310,70,12,2321.0099999999998
13313,169,3,511.9
13317,202,8,1294.81
13319,168,42,6895.93
13324,35,7,2570.89
13327,257,8,913.9
13328,49,10,2458.41
13329,177,5,634.88
13330,45,7,1417.02
13368,157,1,152.64
13369,177,11,1745.68
13370,268,23,3603.2799999999997
13385,124,15,3514.75
13394,16,10,1313.8
13396,35,10,2463.65
13397,167,4,569.92
13402,336,9,1492.56
13405,66,3,317.95
13408,33,42,8898.38
13418,207,24,4072.1499999999996
13426,152,12,1150.8600000000001
13448,225,22,2770.95
13451,143,13,1965.19
13455,119,19,3317.45
13458,105,29,4188.62
13468,20,38,9515.16
13473,126,3,606.6800000000001
13481,291,1,15.28
13487,173,3,370.90999999999997
13488,12,76,12528.78
13491,20,22,4533.73
13494,26,10,1227.47
13495,210,12,2106.64
13496,194,11,1635.14
13497,301,8,1002.28
13502,97,1,140.27
13506,30,21,3967.35
13520,101,20,3973.65
13523,270,12,1760.67
13527,115,1,71.95
13531,269,4,6646.27
13534,48,23,3961.93
13538,45,1,35.57
13539,13,8,1250.05
13551,77,3,1065.19
13552,45,3,335.96999999999997
13564,174,40,8097.389999999999
13565,143,8,1035.58
13569,286,10,1963.09
13576,18,15,2194.21
13579,305,5,540.04
13581,13,5,973.57
13584,3,16,3020.84
13593,147,12,2714.11
13599,119,17,1912.52
13600,30,13,2904.2200000000003
13606,26,3,381.87
13611,212,4,1193.79
13614,126,6,624.25
13615,35,12,2077.94
13627,190,14,2001.2
13629,22,5,1140.5
13634,117,9,1302.55
13649,269,6,723.08
13652,303,5,518.8
13656,154,9,2206.58
13659,86,32,4578.44
13668,13,31,4880.33
13672,135,3,266.12
13680,152,44,6605.67
13693,105,1,62.349999999999994
13694,12,37,6245.1900000000005
13700,117,14,1489.38
13703,70,1,257.99
13705,363,7,1342.71
13707,42,23,4346.02
13709,41,19,2823.63
13715,153,48,7770.69
13725,9,30,5001.91
13728,20,5,1021.4
13742,82,42,9095.31
13747,363,1,160.21
13748,365,1,7.74
13750,152,1,8.79
13754,59,5,1021.57
13756,202,8,1785.41
13758,146,18,2302.93
13764,155,29,4412.97
13767,138,37,6560.98
13769,88,21,3631.51
13777,19,47,7276.48
13782,118,22,3487.06
13784,24,4,317.68
13786,284,2,587.16
13787,245,5,403.93
13798,82,67,10898.02
13800,14,23,3498.0
13802,26,11,1375.25
13807,281,4,1317.08
13815,71,31,8513.32
13817,171,2,177.54
13819,13,15,3274.75
13824,19,9,924.42
13829,203,1,22.99
13831,319,2,326.99
13837,63,5,1157.88
13838,324,35,6817.65
13842,13,18,7989.97
13846,213,8,1419.34
13848,269,1,132.86
13854,22,24,3201.75
13859,109,16,2571.34
13862,119,18,3640.37
13869,35,40,12877.35
13871,12,16,3478.2
13873,17,3,412.85
13874,193,10,1060.02
13880,284,5,1262.58
13881,28,7,2125.6
13883,109,1,41.0
13890,59,8,1672.01
13894,19,6,827.45
13898,108,2,390.61
13901,75,8,768.92
13911,5,14,3267.71
13922,171,3,379.49
13929,88,2,2674.43
13939,20,10,1504.3899999999999
13941,326,9,978.8299999999999
13948,224,2,160.82
13953,172,1,13.2
13958,337,4,496.97
13959,236,7,1103.81
13963,6,16,5162.34
13969,89,18,3384.06
13982,112,30,4542.05
13983,110,18,10911.9
13984,105,4,161.89
13993,127,3,558.91
13999,90,20,3324.2
14001,357,6,1165.54
14006,30,4,741.22
14016,188,16,1799.2
14030,266,17,4988.65
14031,98,21,3669.7400000000002
14032,171,19,4487.82
14037,249,16,1579.3600000000001
14040,40,38,8674.09
14044,15,45,7826.79
14045,159,4,159.69
14047,153,4,377.06
14049,64,57,11934.210000000001
14051,41,24,4018.88
14057,215,23,3578.95
14060,65,25,4312.17
14062,95,33,5630.7300000000005
14068,82,10,2312.06
14078,357,3,2546.91
14081,305,24,5992.1900000000005
14082,251,19,2605.54
14083,175,44,7854.43
14085,14,73,13187.67
14088,90,51,10282.49
14090,103,1,19.2
14092,89,26,3207.76
14099,119,34,6855.8099999999995
14101,112,1,141.97
14107,178,9,1217.46
14113,27,7,678.72
14114,127,5,1207.18
14119,177,1,21.19
14127,20,13,2207.57
14130,76,41,11266.03
14133,14,11,2164.46
14135,114,36,5877.75
14142,351,21,3758.17
14146,46,31,10798.44
14150,212,6,788.1
14156,14,43,9147.48
14159,242,22,2672.1
14161,312,13,2817.7
14167,129,7,1430.35
14175,88,7,1916.52
14176,114,8,546.3399999999999
14180,16,41,22612.36
14185,130,1,116.4
14188,19,8,1415.5
14189,67,26,5510.63
14194,5,20,4488.48
14201,207,3,345.96000000000004
14205,259,9,1599.44
14206,224,1,304.0
14209,135,8,2399.31
14210,167,17,3549.9700000000003
14213,335,2,97.03
14215,41,30,3593.95
14217,23,11,1019.89
14220,193,9,1008.33
14221,166,10,2332.47
14224,83,22,4054.48
14229,42,12,1893.6100000000001
14233,21,12,2270.92
14236,335,3,275.33
14237,357,6,918.37
14238,111,5,1066.12
14239,50,3,529.43
14242,109,5,992.74
14243,62,14,3925.79
14248,66,1,251.5
14256,249,15,3152.43
14257,74,18,4161.15
14258,158,10,1319.3899999999999
14264,336,1,30.009999999999998
14270,132,11,1903.85
14282,286,8,1207.69
14290,50,12,3610.69
14292,109,3,599.2
14293,303,5,1009.27
14295,136,2,234.17999999999998
14298,33,99,17077.33
14299,51,20,3297.58
14307,100,36,8646.57
14309,17,7,954.73
14312,20,9,3387.92
14320,92,17,3027.66
14321,140,16,2456.36
14329,121,31,4995.47
14334,80,17,3513.94
14341,59,12,1840.51
14344,193,13,1828.23
14355,263,8,1403.6
14368,81,8,1614.82
14373,195,1,172.46
14388,267,10,1786.92
14389,70,1,680.93
14390,346,21,3696.74
14395,143,34,4136.1
14396,327,24,4818.53
14401,41,12,1956.95
14404,117,23,3666.9
14409,74,11,2441.26
14410,1,6,1160.99
14411,21,8,694.14
14413,237,5,2552.11
14414,201,4,287.17
14415,105,45,11308.71
14419,251,8,1630.83
14426,35,24,4009.42
14428,105,8,1285.22
14437,265,2,198.5
14438,1,5,562.38
14439,80,17,3026.91
14440,56,15,5509.07
14441,90,2,49.739999999999995
14442,29,20,4304.41
14443,18,16,2552.5299999999997
14448,244,8,793.72
14449,341,28,7176.37
14450,87,3,969.7
14457,21,1,1666.06
14460,20,2,444.55
14462,7,39,8637.48
14466,11,11,2072.48
14467,33,9,2779.12
14472,146,28,6157.68
14479,262,5,413.06
14487,294,11,1765.57
14491,345,3,558.69
14496,28,3,817.95
14497,13,19,2954.65
14498,232,6,768.5
14501,81,4,1000.97
14502,31,21,5094.02
14505,150,94,11947.05
14506,308,30,6779.37
14514,129,10,1354.22
14524,223,7,1048.96
14525,112,18,2199.26
14527,33,84,17352.69
14532,40,11,1996.0
14533,172,6,1360.1100000000001
14534,70,22,5306.9800000000005
14540,13,10,1504.04
14541,48,42,13579.12
14543,73,10,2735.9500000000003
14544,231,26,5223.82
14548,66,2,325.99
14549,24,29,7334.58
14553,166,6,890.0
14560,11,13,2168.04
14565,230,17,2103.0
14572,97,43,5732.9800000000005
14573,335,36,7775.25
14576,336,1,66.33
14577,242,19,2729.72
14587,25,57,10897.95
14589,333,1,293.54999999999995
14594,355,25,4895.42
14595,39,5,796.99
14600,1,2,751.1700000000001
14606,1,289,64045.5
14608,235,1,11.59
14616,62,1,125.0
14618,158,3,582.1
14621,199,11,3415.41
14625,227,12,2840.97
14627,27,4,654.89
14639,195,22,3230.28
14643,173,10,1269.27
14646,91,114,23080.08
14653,162,17,2534.9700000000003
14657,110,33,6263.6900000000005
14659,43,21,6062.35
14662,47,18,4362.46
14665,21,12,5428.4
14667,111,71,27835.61
14669,135,43,7017.89
14672,148,16,2476.54
14673,286,7,1732.33
14679,335,1,160.21
14680,71,38,8092.18
14684,238,24,3419.26
14688,33,38,7770.65
14692,79,18,5365.14
14696,108,26,3752.2799999999997
14701,53,38,8409.91
14702,46,41,8641.24
14708,222,8,2898.88
14709,41,17,2979.92
14713,93,49,8039.72
14715,130,7,556.35
14723,192,41,7858.58
14729,358,42,8608.1
14732,167,5,345.96
14733,59,72,11961.86
14735,18,19,3487.46
14737,173,2,267.29
14738,51,9,2164.96
14739,162,11,1057.34
14741,232,8,1550.47
14744,29,9,1818.78
14748,131,19,1766.6399999999999
14755,144,18,2873.08
14761,145,3,965.51
14766,258,5,818.27
14769,103,33,5535.85
14770,94,9,1385.05
14775,337,9,1582.54
14776,33,19,3086.03
14777,195,1,68.75999999999999
14778,11,15,2911.96
14779,90,20,8888.43
14782,80,3,516.74
14784,97,3,266.9
14794,142,5,827.36
14796,81,80,15665.61
14798,18,5,1195.76
14800,146,73,11825.88
14805,40,15,3177.21
14810,4,24,6882.16
14813,320,25,2951.77
14821,280,1,370.0
14825,201,11,2111.3
14828,152,3,353.44
14829,203,19,4722.35
14841,202,11,2394.13
14842,5,2,175.57999999999998
14849,59,31,5538.68
14850,26,12,1613.44
14865,336,1,50.83
14866,269,1,21.69
14867,147,8,996.2900000000001
14871,221,8,979.33
14878,200,6,1064.23
14889,148,7,576.75
14895,93,1,92.8
14896,262,19,3563.92
14898,111,9,1723.69
14901,222,25,5015.89
14907,222,20,5276.43
14911,11,276,56169.82
14913,206,7,1026.04
14916,99,7,2357.4300000000003
14932,263,3,833.54
14944,172,1,43.98
14952,247,7,627.08
14961,153,18,3540.87
14970,53,4,1541.05
14976,115,10,1019.4200000000001
14978,62,29,4914.91
14985,191,32,4956.59
14987,263,1,324.84
15002,165,23,3598.69
15005,19,70,12072.5
15012,357,30,6193.14
15018,287,1,319.94
15021,277,19,4164.34
15023,105,41,8983.52
15024,280,19,5037.69
15028,297,7,1025.24
15032,271,18,2136.26
15033,122,14,4248.08
15034,160,35,6436.57
15038,323,23,2658.46
15039,27,148,30508.02
15044,138,52,9426.52
15046,20,21,4271.4
15048,300,5,1718.1599999999999
15052,76,19,3268.13
15057,46,17,3080.0299999999997
15058,29,33,6366.32
15059,87,16,2664.18
15061,66,80,17423.11
15062,204,7,460.61
15070,347,1,528.44
15078,77,30,5981.96
15079,42,17,4568.34
15081,281,4,585.65
15090,6,15,2699.58
15093,162,17,3950.83
15100,124,6,1108.1
15101,153,4,282.52
15107,23,12,1674.71
15110,73,9,1871.94
15111,346,9,2892.04
15139,151,4,322.3
15144,33,10,4273.65
15157,187,24,3211.73
15159,44,51,8363.37
15160,188,3,431.3
15164,167,5,473.54
15165,355,12,2351.77
15167,85,14,2760.39
15171,101,3,142.14
15174,93,1,559.5600000000001
15179,77,26,3954.74
15180,283,6,608.15
15181,222,2,71.17999999999999
15189,33,7,1482.03
15192,257,9,1047.57
15194,30,55,24698.14
15197,132,3,77.77
15199,6,1,161.17000000000002
15203,25,6,275.16
15204,188,7,379.43
15208,173,1,90.62
15211,256,8,1258.07
15213,71,9,755.0600000000001
15215,59,2,268.17
15218,73,15,2702.54
15221,271,5,375.99
15222,76,5,959.99
15224,195,9,411.26000000000005
15226,20,7,891.08
15227,59,5,1164.3700000000001
15235,13,34,7788.15
15240,28,11,2333.5299999999997
15246,202,6,323.83
15260,346,9,1750.87
15262,96,9,1945.1599999999999
15266,162,4,677.8
15270,19,8,917.72
15271,159,16,4158.71
15279,179,7,1836.5800000000002
15281,88,27,4071.59
15288,259,10,2584.94
15290,119,7,676.47
15291,79,13,1122.03
15296,113,30,7483.3099999999995
15298,103,17,2238.64
15299,337,1,354.95
15301,300,17,4127.03
15304,301,3,284.47
15311,13,291,80775.51
15312,178,5,697.96
15316,114,1,50.0
15326,140,10,1881.77
15329,257,1,102.82000000000001
15332,270,17,2884.79
15339,70,32,5572.67
15346,137,7,824.62
15347,269,2,104.09
15350,356,3,594.53
15351,321,24,21416.8
15353,287,4,1055.46
15356,222,58,10539.22
15358,29,69,11464.85
15361,234,5,521.14
15363,344,2,1166.17
15365,42,9,2153.17
15366,195,6,1356.92
15370,137,2,115.15
15373,63,16,2603.35
15379,95,62,11874.0
15380,257,1,330.0
15384,210,13,1889.55
15392,194,10,1731.73
15394,199,15,2947.64
15395,108,6,1178.98
15415,37,38,7702.18
15421,19,2,678.6700000000001
15422,93,4,380.48
15426,292,33,7316.49
15443,85,24,3510.63
15447,127,5,689.04
15448,35,21,5322.87
15454,236,11,1824.73
15456,204,12,1585.13
15460,174,33,6770.03
15464,160,68,14208.53
15465,88,11,1684.31
15468,223,1,8.99
15482,202,5,353.79
15485,147,12,2683.22
15497,35,9,1716.55
15498,79,85,12825.98
15502,291,22,4957.15
15503,243,39,4160.39
15510,126,1,35.66
15512,209,4,184.16
15513,54,18,5160.36
15514,221,52,7477.42
15518,70,28,4651.99
15525,357,36,8277.58
15527,44,17,3031.7
15529,96,42,8965.05
15532,194,29,6468.61
15535,118,30,4233.74
15544,344,15,2215.63
15545,325,12,3735.85
15547,43,48,8525.9
15549,40,33,9667.94
15555,231,49,6650.12
15562,171,1,85.0
15563,201,6,1595.82
15569,135,1,290.38
15570,122,57,18842.15
15574,199,64,13458.17
15579,39,18,3886.84
15581,174,17,3154.0
15587,171,2,658.95
15589,21,6,1466.22
15596,54,18,3594.7200000000003
15601,48,88,18663.100000000002
15602,31,12,1589.96
15605,356,9,2356.9
15606,101,4,590.78
15607,151,6,965.01
15611,146,1,113.99
15615,124,20,4675.34
15620,196,13,1449.57
15626,124,7,1015.27
15628,280,14,2270.22
15640,137,47,10929.14
15641,206,7,1408.29
15646,337,13,1839.35
15649,150,2,95.35
15658,14,17,6120.42
15660,265,6,661.06
15661,61,5,1402.0
15664,203,1,374.48
15673,116,17,2466.0
15680,270,14,2548.68
15687,25,22,5726.97
15689,234,2,1121.29
15694,26,12,2724.49
15696,41,28,3799.57
15708,37,47,9667.66
15713,222,5,1105.24
15716,318,22,2690.8
15719,14,95,17395.13
15723,250,22,3839.17
15727,129,37,7652.55
15732,341,4,355.36
15738,34,15,2580.67
15749,135,5,663.5
15750,258,12,2305.46
15752,349,8,1754.62
15759,195,1,134.56
15769,148,6,972.56
15777,65,6,610.78
15780,189,9,1979.93
15781,1,3,767.79
15789,196,13,2374.66
15797,76,1,205.0
15799,143,8,1089.45
15805,254,6,1868.58
15808,2,123,26954.079999999998
15811,187,12,1345.8899999999999
15812,64,2,360.0
15820,79,9,1846.72
15822,207,6,1054.58
15823,157,9,750.27
15827,35,22,3290.08
15831,99,3,1111.38
15834,337,1,124.68
15835,128,5,741.1899999999999
15838,22,5,551.98
15841,165,5,179.57999999999998
15845,153,7,5609.75
15854,24,14,2768.41
15856,170,32,4584.91
15858,284,18,3605.65
15860,301,10,2364.28
15862,363,40,9789.63
15864,28,8,1346.31
15867,59,78,12799.289999999999
15880,312,46,15315.39
15881,28,19,4438.72
15882,294,11,2688.68
15885,13,1,28.41
15889,307,37,9853.42
15894,309,25,3741.02
15898,285,38,5067.29
15899,303,4,392.46000000000004
15910,54,28,6255.54
15916,125,27,4243.81
15919,301,24,4960.72
15922,344,6,727.31
15923,345,14,2267.58
15938,97,4,1399.98
15939,25,7,1175.59
15940,22,1,20.34
15945,260,2,541.61
15950,209,12,2235.15
15953,132,11,2555.39
15955,347,15,3538.15
15965,285,9,2219.37
15967,73,15,2953.45
15971,22,3,423.95
15973,166,3,387.25
15981,24,2,142.73
15983,220,38,6570.52
15984,163,5,772.67
15987,303,3,301.36
15996,267,9,1038.76
15998,237,48,9362.42
16003,208,9,1868.24
16010,239,14,3947.93
16011,23,33,6398.95
16013,152,8,525.69
16016,270,33,6856.0
16019,42,9,1108.83
16029,6,31,5776.23
16030,16,21,3810.66
16033,109,50,9442.39
16034,136,2,318.27000000000004
16037,202,7,1083.57
16042,135,5,582.46
16043,65,8,1134.74
16048,353,5,1457.67
16059,117,21,3033.94
16062,249,5,649.27
16065,261,39,7809.09
16081,278,14,3069.4500000000003
16083,222,8,603.5600000000001
16085,87,12,2369.55
16086,285,5,853.18
16094,153,1,31.689999999999998
16098,364,5,920.39
16109,8,3,798.36
16110,23,69,13475.0
16112,138,5,1007.22
16122,137,8,1016.5
16124,48,8,985.9499999999999
16125,281,11,1786.8600000000001
16133,47,7,1290.95
16134,174,12,2552.12
16138,291,1,15.28
16140,328,6,1142.5
16143,178,12,3315.71
16145,136,17,2603.3
16150,153,14,2432.59
16153,180,7,1189.48
16156,20,13,2035.25
16161,22,64,12517.69
16163,256,4,149.64
16168,77,3,546.8100000000001
16186,341,2,862.28
16191,29,15,1649.37
16202,224,7,922.03
16203,136,11,1677.37
16206,118,11,1778.3
16210,17,20,4196.14
16218,362,17,3974.7799999999997
16221,286,4,1228.69
16222,67,71,12246.47
16233,124,6,758.69
16235,119,7,920.45
16241,166,30,6524.91
16244,346,28,5843.610000000001
16250,364,8,2113.73
16252,266,12,1737.57
16255,168,24,4713.58
16262,222,2,681.0
16265,252,10,2991.42
16270,173,23,4659.75
16271,195,4,792.4
16274,353,32,7245.03
16279,141,2,183.59
16282,168,8,848.65
16293,283,7,768.4599999999999
16303,139,14,2471.36
16306,153,7,521.75
16315,127,4,307.75
16316,163,17,2479.27
16321,96,2,289.92
16326,40,14,2162.11
16327,45,54,10007.81
16333,16,1,618.49
16350,141,13,1150.9
16351,137,2,361.95
16353,12,9,963.29
16359,119,4,93.07
16365,206,6,552.59
16367,240,14,1578.74
16378,20,9,1837.78
16385,272,9,969.5
16387,91,2,51.97
16393,240,13,1520.46
16395,97,39,6962.09
16401,118,10,812.72
16402,311,27,7056.04
16403,32,3,862.48
16405,17,1,56.22
16407,32,10,1343.74
16409,59,30,5360.66
16411,312,10,1006.98
16419,26,7,1052.56
16422,25,27,4825.11
16424,157,1,16.630000000000003
16442,223,29,5558.2
16455,225,13,1861.69
16456,4,42,9031.34
16458,222,5,605.64
16470,201,20,2745.16
16473,152,4,447.14
16477,82,30,4971.08
16493,124,1,149.42
16496,57,31,6113.55
16497,66,10,3129.1
16499,214,13,2072.77
16500,128,1,15.6
16503,126,26,4898.15
16510,342,10,2152.5099999999998
16515,25,16,2719.75
16519,258,1,101.94
16520,260,32,7933.4
16523,44,18,2100.71
16525,3,27,3823.72
16531,70,9,1416.29
16532,164,1,16.5
16539,195,14,3637.61
16546,337,11,1680.3700000000001
16549,144,15,1793.63
16550,293,22,3836.14
16551,152,8,694.24
16552,359,4,481.84
16553,215,5,6662.3
16554,131,1,508.71000000000004
16556,216,9,1542.57
16558,81,28,3995.05
16560,196,10,2488.27
16565,245,2,102.44999999999999
16567,153,14,2305.52
16570,28,11,2019.1799999999998
16579,257,1,240.42
16583,361,5,1981.33
16593,118,1,8.09
16596,266,3,94.84
16600,164,1,1006.7800000000001
16607,187,8,941.5
16612,27,14,3232.86
16618,90,24,5271.14
16634,336,6,1110.42
16638,121,3,351.89
16654,291,5,735.24
16655,132,13,2529.39
16656,59,6,180.52
16658,293,7,1022.97
16660,79,1,41.99
16665,236,5,1060.06
16670,109,25,3886.2
16676,157,8,956.69
16679,271,1,97.05
16684,15,33,6123.23
16686,181,51,8647.12
16700,53,24,4408.92
16701,132,9,1485.95
16705,24,28,3482.45
16710,215,28,5035.07
16711,188,1,18.99
16713,178,49,9539.94
16714,61,47,11602.03
16716,22,1,55.42
16717,19,8,1255.07
16718,313,28,4782.52
16719,164,34,6716.05
16722,222,22,2624.66
16725,6,67,12847.5
16726,230,8,833.76
16727,246,21,3815.89
16730,77,9,3282.64
16735,144,26,3487.66
16743,200,13,2539.1
16745,2,28,5847.84
16746,118,27,3397.36
16748,13,9,1948.41
16752,345,4,1023.0799999999999
16754,336,2,149.79
16755,45,7,1790.6
16757,73,6,925.06
16767,52,26,6740.06
16770,38,45,9833.94
16771,19,57,11906.24
16775,125,19,3048.57
16779,22,36,6082.9400000000005
16781,257,14,2126.0699999999997
16782,56,61,11022.65
16791,133,17,3469.44
16795,258,32,5208.53
16805,215,31,4042.87
16810,223,1,37.35
16812,220,7,1990.9099999999999
16814,16,36,8303.710000000001
16816,36,16,2964.87
16817,213,13,1886.79
16833,144,8,1581.04
16835,350,1,260.37
16839,35,10,1810.35
16843,116,8,1851.1399999999999
16850,140,13,1605.73
16858,269,2,636.9300000000001
16861,291,1,40.86
16863,224,5,1250.28
16873,176,43,3409.85
16875,137,17,3071.43
16882,58,1,244.0
16883,334,11,2381.68
16885,186,23,4172.17
16889,152,20,4992.24
16891,333,37,8628.09
16892,95,1,54.47
16893,277,31,4111.96
16897,40,19,3901.91
16898,258,11,3615.51
16899,216,9,883.05
16904,102,44,6813.71
16905,334,5,1116.4
16907,256,19,3809.61
16912,93,5,1141.54
16916,343,23,3465.5099999999998
16918,58,10,2717.16
16919,215,34,7912.25
16923,40,59,16001.87
16926,331,6,605.77
16927,231,1,38.69
16928,90,5,1642.87
16931,86,54,11911.35
16938,11,9,2236.03
16943,67,10,1567.77
16945,193,7,1457.35
16948,108,4,677.44
16949,54,4,852.99
16950,283,2,172.5
16954,212,5,461.84000000000003
16955,148,12,1361.22
16983,82,10,1238.69
16985,20,17,4200.32
16992,18,2,56.620000000000005
16995,336,1,24.03
16996,172,4,364.59
16997,13,5,770.99
17001,76,18,1807.06
17007,173,8,1356.01
17017,214,42,7752.51
17018,109,5,684.77
17019,127,46,8468.77
17025,352,5,1148.87
17026,315,3,158.28
17027,61,18,3709.07
17033,208,4,448.13
17035,25,8,1814.52
17041,222,4,725.93
17044,203,1,64.97
17048,88,7,1274.13
17059,317,69,9475.46
17062,40,34,6673.76
